UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,DATE,Cryptocurrency
DAY,1707436800,267,cadli,MATIC-USD,72.92117643727772,75.11771151972997,72.71057519296401,74.60154754722426,2024-09-02,Polygon
DAY,1707436800,267,cadli,XRP-USD,45.07267562383458,46.219290810892936,45.02039067437308,46.03685195085934,2024-09-02,Ripple
DAY,1709942400,267,cadli,BCH-USD,38225.86416603225,40013.605064684896,37317.106563502806,37858.23033293527,2024-09-03,Bch
DAY,1709942400,267,cadli,BNB-USD,42589.44170917864,43216.78176669868,42143.9687509913,42756.5843418084,2024-09-03,Bnb
DAY,1709942400,267,cadli,BTC-USD,5968191.034772406,6002939.946747664,5947591.642491511,5983282.396104983,2024-09-03,Btc
DAY,1709942400,267,cadli,DOGE-USD,14.527766729816168,16.23553604065541,14.408039503387448,15.746881252243847,2024-09-03,Doge
DAY,1709942400,267,cadli,DOT-USD,932.016151140679,958.8676359320953,912.913530940854,919.0624877185212,2024-09-03,Dot
DAY,1709942400,267,cadli,ETH-USD,340212.3080879131,345279.87500121724,339356.8407350611,342073.8392451296,2024-09-03,Eth
DAY,1709942400,267,cadli,LINK-USD,1725.2698883878172,1779.9310196950871,1723.2155910103943,1749.5827136747364,2024-09-03,Link
DAY,1709942400,267,cadli,LTC-USD,7737.856006714751,7958.170316507263,7619.143426186421,7943.585916116438,2024-09-03,Ltc
DAY,1709942400,267,cadli,MATIC-USD,98.5221368430705,101.28873505849116,97.9971475205663,101.27544339453144,2024-09-03,Polygon
DAY,1709942400,267,cadli,XRP-USD,54.32483567369008,55.37857370051006,54.00655156092063,54.29275013210284,2024-09-03,Ripple
DAY,1712620800,267,cadli,BCH-USD,59564.68587093573,60733.37147732155,57529.89477925757,58737.73090463482,2024-09-04,Bch
DAY,1712620800,267,cadli,BNB-USD,51273.22826046065,51580.32351942871,50071.065906800985,50744.74870491087,2024-09-04,Bnb
DAY,1712620800,267,cadli,BTC-USD,6263175.729983368,6273889.958923147,5968857.707446569,6044809.743821297,2024-09-04,Btc
DAY,1712620800,267,cadli,DOGE-USD,17.80258343156351,17.86808980346343,16.338656471224915,16.611474974496875,2024-09-04,Doge
DAY,1712620800,267,cadli,DOT-USD,790.8314796369184,795.7811790720616,754.7423864976853,756.9598667696413,2024-09-04,Dot
DAY,1712620800,267,cadli,ETH-USD,323064.37833478727,325790.0179504122,302540.1749335926,306509.6081132492,2024-09-04,Eth
DAY,1712620800,267,cadli,LINK-USD,1583.010302018639,1589.369473032721,1509.0708873771775,1517.8262033997607,2024-09-04,Link
DAY,1712620800,267,cadli,LTC-USD,9033.67543839166,9043.297558603055,8449.911994348442,8530.121394817648,2024-09-04,Ltc
DAY,1712620800,267,cadli,MATIC-USD,82.82118126554592,83.05176503269476,78.19472537938735,78.4571322523437,2024-09-04,Polygon
DAY,1712620800,267,cadli,XRP-USD,53.76432422859541,56.20187288868716,52.619913319449466,53.69097013943149,2024-09-04,Ripple
DAY,1715212800,267,cadli,BCH-USD,39308.79507266013,40113.1302375022,38800.54533455436,39849.20389115447,2024-09-05,Bch
DAY,1715212800,267,cadli,BNB-USD,51454.9280087759,52776.76050243043,51292.050197913886,52183.16950052102,2024-09-05,Bnb
DAY,1715212800,267,cadli,BTC-USD,5352141.3883428285,5546564.889714127,5304497.684270944,5517195.672634302,2024-09-05,Btc
DAY,1715212800,267,cadli,DOGE-USD,12.5483424747159,13.481034263368812,12.5483424747159,13.32329269096778,2024-09-05,Doge
DAY,1715212800,267,cadli,DOT-USD,611.1576555238127,620.1634291821156,593.7777826843435,616.9003831599103,2024-09-05,Dot
DAY,1715212800,267,cadli,ETH-USD,260111.89240473608,267429.9909700818,258152.7475471573,265583.8371610209,2024-09-05,Eth
DAY,1715212800,267,cadli,LINK-USD,1215.993395906236,1255.72331238749,1211.676909612224,1245.2003778331575,2024-09-05,Link
DAY,1715212800,267,cadli,LTC-USD,7140.592874719619,7269.597322213606,7062.622664440145,7269.321772389716,2024-09-05,Ltc
DAY,1715212800,267,cadli,MATIC-USD,59.62921688339866,61.13399263845864,58.81451491986076,60.7756883894787,2024-09-05,Polygon
DAY,1715212800,267,cadli,XRP-USD,45.35762635031077,45.87847264911558,44.632191276282754,45.665398074818704,2024-09-05,Ripple
DAY,1717891200,267,cadli,BCH-USD,41054.09339068068,41603.92191718644,40682.30414165343,41548.8865485634,2024-09-06,Bch
DAY,1717891200,267,cadli,BNB-USD,59693.04261806764,59867.49313294103,58622.30051225921,58851.31290562397,2024-09-06,Bnb
DAY,1717891200,267,cadli,BTC-USD,6060445.232006011,6107447.971584848,6045941.644102484,6091088.173478922,2024-09-06,Btc
DAY,1717891200,267,cadli,DOGE-USD,12.779404074385791,13.033622992357117,12.698371841268449,12.849644625101035,2024-09-06,Doge
DAY,1717891200,267,cadli,DOT-USD,558.3109765425273,571.8018849089353,557.6091016308089,570.8896661006136,2024-09-06,Dot
DAY,1717891200,267,cadli,ETH-USD,321901.2184612213,325232.26837871043,320757.9782609462,324074.18042534497,2024-09-06,Eth
DAY,1717891200,267,cadli,LINK-USD,1392.8354969327631,1432.5672850912654,1391.3729533974638,1432.1926564866922,2024-09-06,Link
DAY,1717891200,267,cadli,LTC-USD,6994.13759444231,7058.706316793881,6955.696078289731,7040.3401959452285,2024-09-06,Ltc
DAY,1717891200,267,cadli,MATIC-USD,56.81765678012782,57.436727143949376,56.35150439067517,57.32891389986808,2024-09-06,Polygon
DAY,1717891200,267,cadli,XRP-USD,43.08540963738198,43.75273371330222,42.96668664802422,43.70656059125731,2024-09-06,Ripple
DAY,1720483200,267,cadli,BCH-USD,29210.389141429765,29801.554435425736,28786.919199914217,28995.682488060476,2024-09-07,Bch
DAY,1720483200,267,cadli,BNB-USD,44656.831979980656,45558.58734748866,44321.96490892876,45217.139760656384,2024-09-07,Bnb
DAY,1720483200,267,cadli,BTC-USD,4961972.06269658,5095848.700246423,4926549.840687254,5078119.949012735,2024-09-07,Btc
DAY,1720483200,267,cadli,DOGE-USD,9.428732504801944,9.56774314575389,9.28340733148937,9.41833241570814,2024-09-07,Doge
DAY,1720483200,267,cadli,DOT-USD,520.1642815430006,540.8033509912021,511.567247799696,535.1932629483094,2024-09-07,Dot
DAY,1720483200,267,cadli,ETH-USD,264108.39767697453,271982.28501221706,262839.7698896449,268261.66738084966,2024-09-07,Eth
DAY,1720483200,267,cadli,LINK-USD,1148.2228116827548,1164.2522919896307,1114.4343195728552,1123.6554013653165,2024-09-07,Link
DAY,1720483200,267,cadli,LTC-USD,5678.458227355587,5791.281648552217,5624.355663780804,5719.856080255003,2024-09-07,Ltc
DAY,1720483200,267,cadli,MATIC-USD,43.91312414655291,44.47963867297865,43.191702610559474,43.84037001777346,2024-09-07,Polygon
DAY,1720483200,267,cadli,XRP-USD,37.82649472414801,38.33612802636011,37.46818402995856,38.19299949572251,2024-09-07,Ripple
DAY,1723161600,267,cadli,BCH-USD,30953.52196573815,31316.06933431257,29496.293134650907,30468.5740106336,2024-09-08,Bch
DAY,1723161600,267,cadli,BNB-USD,45227.13928571742,45320.78541570407,43654.737519272974,44507.62381560208,2024-09-08,Bnb
DAY,1723161600,267,cadli,BTC-USD,5397410.228029747,5400718.150990665,5213061.819281947,5324068.846555764,2024-09-08,Btc
DAY,1723161600,267,cadli,DOGE-USD,9.408047980326645,9.431809200449962,8.917822338318256,9.120274607132217,2024-09-08,Doge
DAY,1723161600,267,cadli,DOT-USD,426.9912273658498,430.8845627351413,414.6244666108915,418.83595929346535,2024-09-08,Dot
DAY,1723161600,267,cadli,ETH-USD,234717.93884182535,236659.4635425368,223530.5462170884,227440.13262028815,2024-09-08,Eth
DAY,1723161600,267,cadli,LINK-USD,940.429675403582,940.442315021408,890.0683288169525,922.4314091879749,2024-09-08,Link
DAY,1723161600,267,cadli,LTC-USD,5355.5480289614325,5358.049585923166,5204.86259113394,5311.541776451073,2024-09-08,Ltc
DAY,1723161600,267,cadli,MATIC-USD,37.79344193001904,37.79478308777716,36.27042919390784,36.93326559641464,2024-09-08,Polygon
DAY,1723161600,267,cadli,XRP-USD,54.09501229795937,54.772389925518965,49.92795353178926,51.03610872699191,2024-09-08,Ripple
DAY,1725840000,267,cadli,BCH-USD,26715.980209006502,28446.858512792794,26692.388578259182,28206.772381368064,2024-09-09,Bch
DAY,1725840000,267,cadli,BNB-USD,44021.20158031176,45964.65621256665,43904.46124722213,45363.87359787137,2024-09-09,Bnb
DAY,1725840000,267,cadli,BTC-USD,4801018.646326756,5066815.160315378,4776736.435634925,4989722.883706719,2024-09-09,Btc
DAY,1725840000,267,cadli,DOGE-USD,8.410418274580705,9.158996240246386,8.380725407696811,9.08197938796516,2024-09-09,Doge
DAY,1725840000,267,cadli,DOT-USD,364.1938028790306,379.2931425017397,359.854819773418,374.918282402203,2024-09-09,Dot
DAY,1725840000,267,cadli,ETH-USD,201002.4057772456,207990.24593482725,198872.85779177368,206380.76527608096,2024-09-09,Eth
DAY,1725840000,267,cadli,LINK-USD,905.5353403096892,946.2755583470316,899.2554707351995,921.5930105178156,2024-09-09,Link
DAY,1725840000,267,cadli,LTC-USD,5332.277294723329,5405.040876031531,5227.248121162929,5372.633726929755,2024-09-09,Ltc
DAY,1725840000,267,cadli,MATIC-USD,32.85110865467474,33.709796759338296,32.55577241174193,33.42891372980712,2024-09-09,Polygon
