UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,DATE
DAY,1498694400,267,cadli,ETH-USD,28760.912743270466,29147.8041930546,25615.84706781434,26491.796077210434,2017-06-29
DAY,1498780800,267,cadli,ETH-USD,26491.796077210434,27787.16409389902,25344.819580747,26049.149569771856,2017-06-30
DAY,1498867200,267,cadli,ETH-USD,26049.149569771856,26058.434115404405,23606.09955321828,24243.14579244029,2017-07-01
DAY,1498953600,267,cadli,ETH-USD,24243.14579244029,26192.88063427095,23107.377953747236,25340.447921563635,2017-07-02
DAY,1499040000,267,cadli,ETH-USD,25340.447921563635,25587.12091392074,24667.774006218402,24959.00871997525,2017-07-03
DAY,1499126400,267,cadli,ETH-USD,24959.00871997525,25371.695735141908,23905.59171309679,24084.742955381254,2017-07-04
DAY,1499212800,267,cadli,ETH-USD,24084.742955381254,24303.813472167927,22849.96005707282,23609.194937763557,2017-07-05
DAY,1499299200,267,cadli,ETH-USD,23609.194937763557,24442.542844298005,23220.268508545138,23741.75023681225,2017-07-06
DAY,1499385600,267,cadli,ETH-USD,23741.75023681225,23845.281979197356,21285.5381759344,21572.93245777179,2017-07-07
DAY,1499472000,267,cadli,ETH-USD,21572.93245777179,22216.118858804442,20611.67191397601,22026.228945412953,2017-07-08
DAY,1499558400,267,cadli,ETH-USD,22026.228945412953,22341.298003583935,21110.323879188192,21142.156127617072,2017-07-09
DAY,1499644800,267,cadli,ETH-USD,21142.156127617072,21408.283438442206,17136.489615143088,18669.433386198412,2017-07-10
DAY,1499731200,267,cadli,ETH-USD,18669.433386198412,19422.4599148256,16056.909622979101,17335.061827989757,2017-07-11
DAY,1499817600,267,cadli,ETH-USD,17335.061827989757,20341.855366442283,16629.484574371778,20312.125167369166,2017-07-12
DAY,1499904000,267,cadli,ETH-USD,20312.125167369166,20418.63900146303,17517.319131978315,18433.60367178064,2017-07-13
DAY,1499990400,267,cadli,ETH-USD,18433.60367178064,18610.328391216117,16439.463511554404,17639.691813786932,2017-07-14
DAY,1500076800,267,cadli,ETH-USD,17639.691813786932,17696.121180620758,14824.663414638899,14824.663414638899,2017-07-15
DAY,1500163200,267,cadli,ETH-USD,14824.663414638899,15046.523511681546,11218.710319421743,13825.740811471744,2017-07-16
DAY,1500249600,267,cadli,ETH-USD,13825.740811471744,17208.170265637786,13775.448217437503,17055.3917523662,2017-07-17
DAY,1500336000,267,cadli,ETH-USD,17055.3917523662,23631.686239325252,15953.709150304749,20531.73385514409,2017-07-18
DAY,1500422400,267,cadli,ETH-USD,20531.73385514409,21583.49571200095,16387.781173877873,17583.642214134434,2017-07-19
DAY,1500508800,267,cadli,ETH-USD,17583.642214134434,20557.105172005697,17544.785346680565,19869.17061439316,2017-07-20
DAY,1500595200,267,cadli,ETH-USD,19869.17061439316,20705.865422464918,18490.072713240814,18973.549635636416,2017-07-21
DAY,1500681600,267,cadli,ETH-USD,18973.549635636416,20366.151220405427,18823.39787344291,20049.11575261214,2017-07-22
DAY,1500768000,267,cadli,ETH-USD,20049.11575261214,20253.488215130827,19176.393999121545,19847.053025485377,2017-07-23
DAY,1500854400,267,cadli,ETH-USD,19847.053025485377,19940.542648444596,19519.218329187017,19696.005494632165,2017-07-24
DAY,1500940800,267,cadli,ETH-USD,19696.005494632165,19700.729340947528,17017.939672395245,18005.25834183219,2017-07-25
DAY,1501027200,267,cadli,ETH-USD,18005.25834183219,18525.539708573982,17066.66700946906,17873.814846055437,2017-07-26
DAY,1501113600,267,cadli,ETH-USD,17873.814846055437,17988.523005249855,17522.99679126902,17783.93145086363,2017-07-27
DAY,1501200000,267,cadli,ETH-USD,17783.93145086363,17848.588352886527,16693.062296770237,16871.592308239437,2017-07-28
DAY,1501286400,267,cadli,ETH-USD,16871.592308239437,18401.595046594084,15606.197812990775,18034.30627521176,2017-07-29
DAY,1501372800,267,cadli,ETH-USD,18034.30627521176,18330.803079272777,17095.433067877104,17351.874661563408,2017-07-30
DAY,1501459200,267,cadli,ETH-USD,17351.874661563408,17959.44140562667,16952.97074599879,17916.68456592831,2017-07-31
DAY,1501545600,267,cadli,ETH-USD,17916.68456592831,20100.19119730096,17916.68456592831,19853.18698282493,2017-08-01
DAY,1501632000,267,cadli,ETH-USD,19853.18698282493,20088.614377012185,19000.680615060424,19237.87397329166,2017-08-02
DAY,1501718400,267,cadli,ETH-USD,19237.87397329166,19939.184259559166,19190.844515654084,19701.35356995467,2017-08-03
DAY,1501804800,267,cadli,ETH-USD,19701.35356995467,19897.511373627764,19336.400372781052,19452.7395479546,2017-08-04
DAY,1501891200,267,cadli,ETH-USD,19452.7395479546,22417.231400019577,19364.97598062236,22362.439896919157,2017-08-05
DAY,1501977600,267,cadli,ETH-USD,22362.439896919157,23766.335156637284,22044.092559533037,22853.631236846293,2017-08-06
DAY,1502064000,267,cadli,ETH-USD,22853.631236846293,23820.293916102197,22411.525395279998,23561.407934047875,2017-08-07
DAY,1502150400,267,cadli,ETH-USD,23561.407934047875,26208.46780614937,23315.80652233947,26010.923052469658,2017-08-08
DAY,1502236800,267,cadli,ETH-USD,26010.923052469658,27746.21481334666,23918.77086583223,25863.4144983945,2017-08-09
DAY,1502323200,267,cadli,ETH-USD,25863.4144983945,26768.95479255099,25183.32501856643,25799.8012045075,2017-08-10
DAY,1502409600,267,cadli,ETH-USD,25799.8012045075,27123.5219189992,25783.158851418706,27052.972290786893,2017-08-11
DAY,1502496000,267,cadli,ETH-USD,27052.972290786893,27738.778244256322,26902.276760748246,27173.499981158653,2017-08-12
DAY,1502582400,267,cadli,ETH-USD,27173.499981158653,27229.59704577321,25165.69152376334,26135.099787453903,2017-08-13
DAY,1502668800,267,cadli,ETH-USD,26135.099787453903,26980.85660909477,25939.698424351598,26257.99771001711,2017-08-14
DAY,1502755200,267,cadli,ETH-USD,26257.99771001711,26352.762251085675,24357.610882568264,25440.26772234926,2017-08-15
DAY,1502841600,267,cadli,ETH-USD,25440.26772234926,26751.639816953262,24958.970226116136,26409.774323371134,2017-08-16
DAY,1502928000,267,cadli,ETH-USD,26409.774323371134,27011.184587080388,26154.181741344022,26157.068344658368,2017-08-17
DAY,1503014400,267,cadli,ETH-USD,26157.068344658368,26782.68555627089,25595.65359258578,25887.11092058895,2017-08-18
DAY,1503100800,267,cadli,ETH-USD,25887.11092058895,26282.556620133368,25030.249533916707,25816.1882178688,2017-08-19
DAY,1503187200,267,cadli,ETH-USD,25816.1882178688,26448.518752962435,25535.4535213921,26403.535800025238,2017-08-20
DAY,1503273600,267,cadli,ETH-USD,26403.535800025238,30360.53092920511,26054.84258848405,28080.21018509719,2017-08-21
DAY,1503360000,267,cadli,ETH-USD,28080.21018509719,28624.5511535734,25859.751961814614,27394.41852100266,2017-08-22
DAY,1503446400,267,cadli,ETH-USD,27394.41852100266,28432.665444016762,27394.41852100266,27799.757788115377,2017-08-23
DAY,1503532800,267,cadli,ETH-USD,27799.757788115377,28667.643135674592,27716.85482977125,28450.69063608661,2017-08-24
DAY,1503619200,267,cadli,ETH-USD,28450.69063608661,29437.33375487402,28450.69063608661,28960.633410754228,2017-08-25
DAY,1503705600,267,cadli,ETH-USD,28960.633410754228,29439.831556628902,28655.60689405463,29313.650039044922,2017-08-26
DAY,1503792000,267,cadli,ETH-USD,29313.650039044922,30511.25101385775,29313.650039044922,30511.25101385775,2017-08-27
DAY,1503878400,267,cadli,ETH-USD,30511.25101385775,30736.57183958527,29533.66107216192,30403.9493696082,2017-08-28
DAY,1503964800,267,cadli,ETH-USD,30403.9493696082,32671.06034948618,30329.52151938179,32304.174290045503,2017-08-29
DAY,1504051200,267,cadli,ETH-USD,32304.174290045503,34039.51651129948,31711.380849946425,33131.12281650109,2017-08-30
DAY,1504137600,267,cadli,ETH-USD,33131.12281650109,33739.50783344732,32921.54615708811,33565.30119372462,2017-08-31
DAY,1504224000,267,cadli,ETH-USD,33565.30119372462,34164.65604747793,33549.5992906525,33871.263116420414,2017-09-01
DAY,1504310400,267,cadli,ETH-USD,33871.263116420414,33966.7901718021,28469.525393639262,30537.121659065226,2017-09-02
DAY,1504396800,267,cadli,ETH-USD,30537.121659065226,32289.25671427922,29203.228938327597,30605.70439785985,2017-09-03
DAY,1504483200,267,cadli,ETH-USD,30605.70439785985,30605.70439785985,24569.270983346334,26364.849716013676,2017-09-04
DAY,1504569600,267,cadli,ETH-USD,26364.849716013676,28152.469580584126,23808.63048683909,27623.24958228745,2017-09-05
DAY,1504656000,267,cadli,ETH-USD,27623.24958228745,29276.853099888307,27605.48258696821,29145.830818501974,2017-09-06
DAY,1504742400,267,cadli,ETH-USD,29145.830818501974,29208.890263754754,27960.520251073518,28780.913650147224,2017-09-07
DAY,1504828800,267,cadli,ETH-USD,28780.913650147224,28798.522919851766,25758.74080925321,26919.390646615673,2017-09-08
DAY,1504915200,267,cadli,ETH-USD,26919.390646615673,26919.390646615673,25765.524284399806,26561.90144282621,2017-09-09
DAY,1505001600,267,cadli,ETH-USD,26561.90144282621,26658.737748635656,24260.829757081152,26043.356278029285,2017-09-10
DAY,1505088000,267,cadli,ETH-USD,26043.356278029285,26967.01551433435,25171.9532109069,25969.67137819447,2017-09-11
DAY,1505174400,267,cadli,ETH-USD,25969.67137819447,27306.211198399753,25243.47094688372,25615.438283579933,2017-09-12
DAY,1505260800,267,cadli,ETH-USD,25615.438283579933,25615.438283579933,22829.00449719582,24251.55746304379,2017-09-13
DAY,1505347200,267,cadli,ETH-USD,24251.55746304379,24622.70880226099,19022.542379431918,19067.178643758078,2017-09-14
DAY,1505433600,267,cadli,ETH-USD,19067.178643758078,23265.474313952946,17384.533568149727,22549.606727296366,2017-09-15
DAY,1505520000,267,cadli,ETH-USD,22549.606727296366,23616.796865066503,21272.002291725894,22096.722465014547,2017-09-16
DAY,1505606400,267,cadli,ETH-USD,22096.722465014547,22875.770323462755,20868.885023938812,22311.906558810977,2017-09-17
DAY,1505692800,267,cadli,ETH-USD,22311.906558810977,25756.436185538507,22311.906558810977,25570.853173131894,2017-09-18
DAY,1505779200,267,cadli,ETH-USD,25570.853173131894,25752.465275401588,23724.591496040186,24599.710897148725,2017-09-19
DAY,1505865600,267,cadli,ETH-USD,24599.710897148725,25373.95790453514,24253.737213037548,24718.728709842555,2017-09-20
DAY,1505952000,267,cadli,ETH-USD,24718.728709842555,25063.99749550447,22228.634490434844,22548.302151281823,2017-09-21
